caseID,Activity,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17
341,e,2,0,0,2,1,7,1,1,1,0,1,2,0,0,0,0,0
341,h,2,0,0,2,1,7,1,1,1,0,1,2,0,0,0,0,0
341,e,2,0,0,2,1,7,1,1,1,0,1,2,0,0,0,0,0
341,k,2,0,0,2,1,7,1,1,1,0,1,2,0,0,0,0,0
341,n,2,0,0,2,1,7,1,1,1,0,1,2,0,0,0,0,0
341,l,2,0,0,2,1,7,1,1,1,0,1,2,0,0,0,0,0
341,o,2,0,0,2,1,7,1,1,1,0,1,2,0,0,0,0,0
342,a,3,0,0,3,1,5,3,2,0,1,3,0,0,0,0,0,0
342,b,3,0,0,3,1,5,3,2,0,1,3,0,0,0,0,0,0
342,e,3,0,0,3,1,5,3,2,0,1,3,0,0,0,0,0,0
342,h,3,0,0,3,1,5,3,2,0,1,3,0,0,0,0,0,0
342,b,3,0,0,3,1,5,3,2,0,1,3,0,0,0,0,0,0
342,k,3,0,0,3,1,5,3,2,0,1,3,0,0,0,0,0,0
342,f,3,0,0,3,1,5,3,2,0,1,3,0,0,0,0,0,0
342,e,3,0,0,3,1,5,3,2,0,1,3,0,0,0,0,0,0
342,d,3,0,0,3,1,5,3,2,0,1,3,0,0,0,0,0,0
342,n,3,0,0,3,1,5,3,2,0,1,3,0,0,0,0,0,0
342,o,3,0,0,3,1,5,3,2,0,1,3,0,0,0,0,0,0
343,a,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
343,e,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
343,i,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
343,b,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
343,c,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
343,h,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
343,c,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
343,k,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
343,k,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
343,f,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
343,d,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
343,n,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
343,o,2,1,0,3,1,6,1,3,0,0,1,0,0,0,0,1,0
344,a,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,e,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,i,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,h,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,j,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,k,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,b,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,j,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,f,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,d,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,e,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,d,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,n,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
344,o,2,1,1,1,1,2,1,2,0,1,1,1,0,0,0,1,0
345,a,1,0,0,1,0,1,3,2,0,1,1,0,0,0,0,0,0
345,j,1,0,0,1,0,1,3,2,0,1,1,0,0,0,0,0,0
345,g,1,0,0,1,0,1,3,2,0,1,1,0,0,0,0,0,0
345,e,1,0,0,1,0,1,3,2,0,1,1,0,0,0,0,0,0
345,e,1,0,0,1,0,1,3,2,0,1,1,0,0,0,0,0,0
345,e,1,0,0,1,0,1,3,2,0,1,1,0,0,0,0,0,0
345,h,1,0,0,1,0,1,3,2,0,1,1,0,0,0,0,0,0
345,f,1,0,0,1,0,1,3,2,0,1,1,0,0,0,0,0,0
345,n,1,0,0,1,0,1,3,2,0,1,1,0,0,0,0,0,0
345,e,1,0,0,1,0,1,3,2,0,1,1,0,0,0,0,0,0
345,o,1,0,0,1,0,1,3,2,0,1,1,0,0,0,0,0,0
346,a,1,1,0,1,1,2,1,3,0,1,1,0,0,0,0,1,0
346,c,1,1,0,1,1,2,1,3,0,1,1,0,0,0,0,1,0
346,e,1,1,0,1,1,2,1,3,0,1,1,0,0,0,0,1,0
346,d,1,1,0,1,1,2,1,3,0,1,1,0,0,0,0,1,0
346,h,1,1,0,1,1,2,1,3,0,1,1,0,0,0,0,1,0
346,f,1,1,0,1,1,2,1,3,0,1,1,0,0,0,0,1,0
346,d,1,1,0,1,1,2,1,3,0,1,1,0,0,0,0,1,0
